PERIODO,CVE_ENT,ENTIDAD,VALOR_USD
2005-10-01,28,Tamaulipas,110134212
2005-10-01,29,Tlaxcala,58563301
2005-10-01,30,Veracruz,368244140
2005-10-01,31,Yucatán,26042955
2005-10-01,32,Zacatecas,138259488
2006-01-01,1,Aguascalientes,82194562
2006-01-01,2,Baja California,68569036
2006-01-01,3,Baja California Sur,6556396
2006-01-01,4,Campeche,18240355
2006-01-01,5,Coahuila,63400685
2006-01-01,6,Colima,42981713
2006-01-01,7,Chiapas,206068383
2006-01-01,8,Chihuahua,113833444
2006-01-01,9,Ciudad de México,394793360
2006-01-01,10,Durango,95731187
2006-01-01,11,Guanajuato,487699962
2006-01-01,12,Guerrero,325599503
2006-01-01,13,Hidalgo,206825305
2006-01-01,14,Jalisco,451939595
2006-01-01,15,Estado de México,452323907
2006-01-01,16,Michoacán,595802813
2006-01-01,17,Morelos,132137473
2006-01-01,18,Nayarit,76327506
2006-01-01,19,Nuevo León,78493204
2006-01-01,20,Oaxaca,287948943
2006-01-01,21,Puebla,314317108
2006-01-01,22,Querétaro,103271385
2006-01-01,23,Quintana Roo,21488245
2006-01-01,24,San Luis Potosí,151894027
2006-01-01,25,Sinaloa,115790282
2006-01-01,26,Sonora,86270388
2006-01-01,27,Tabasco,42257394
2006-01-01,28,Tamaulipas,116331346
2006-01-01,29,Tlaxcala,54080018
2006-01-01,30,Veracruz,366817137
2006-01-01,31,Yucatán,26335826
2006-01-01,32,Zacatecas,148011185
2006-04-01,1,Aguascalientes,100485542
2006-04-01,2,Baja California,78258122
2006-04-01,3,Baja California Sur,7537465
2006-04-01,4,Campeche,22270553
2006-04-01,5,Coahuila,73795316
2006-04-01,6,Colima,47869547
2006-04-01,7,Chiapas,264063495
2006-04-01,8,Chihuahua,130133460
2006-04-01,9,Ciudad de México,386193708
2006-04-01,10,Durango,116913434
2006-04-01,11,Guanajuato,646075370
2006-04-01,12,Guerrero,391744265
2006-04-01,13,Hidalgo,277894417
2006-04-01,14,Jalisco,520156035
2006-04-01,15,Estado de México,572874896
2006-04-01,16,Michoacán,674403559
2006-04-01,17,Morelos,155991541
2006-04-01,18,Nayarit,92507627
2006-04-01,19,Nuevo León,91893941
2006-04-01,20,Oaxaca,374235849
2006-04-01,21,Puebla,397600612
2006-04-01,22,Querétaro,138028622
2006-04-01,23,Quintana Roo,25024798
2006-04-01,24,San Luis Potosí,195038142
2006-04-01,25,Sinaloa,135606265
2006-04-01,26,Sonora,92291825
2006-04-01,27,Tabasco,51596738
2006-04-01,28,Tamaulipas,135350913
2006-04-01,29,Tlaxcala,72330303
2006-04-01,30,Veracruz,463084487
2006-04-01,31,Yucatán,30990800
2006-04-01,32,Zacatecas,185321407
2006-07-01,1,Aguascalientes,100836410
2006-07-01,2,Baja California,80241835
2006-07-01,3,Baja California Sur,7314309
2006-07-01,4,Campeche,21499297
2006-07-01,5,Coahuila,71706551
2006-07-01,6,Colima,46790169
2006-07-01,7,Chiapas,246881354
2006-07-01,8,Chihuahua,119057963
2006-07-01,9,Ciudad de México,362883738
2006-07-01,10,Durango,111679628
2006-07-01,11,Guanajuato,629041514
2006-07-01,12,Guerrero,370993342
2006-07-01,13,Hidalgo,263745302
2006-07-01,14,Jalisco,502423071
2006-07-01,15,Estado de México,544169394
2006-07-01,16,Michoacán,641418813
2006-07-01,17,Morelos,152337134
2006-07-01,18,Nayarit,93288469
2006-07-01,19,Nuevo León,88952674
2006-07-01,20,Oaxaca,363359040
2006-07-01,21,Puebla,394774879
2006-07-01,22,Querétaro,130314317
2006-07-01,23,Quintana Roo,26176749
2006-07-01,24,San Luis Potosí,193135344
2006-07-01,25,Sinaloa,129162264
2006-07-01,26,Sonora,77317930
2006-07-01,27,Tabasco,49084210
2006-07-01,28,Tamaulipas,127375104
2006-07-01,29,Tlaxcala,76580476
2006-07-01,30,Veracruz,437593588
2006-07-01,31,Yucatán,32258220
2006-07-01,32,Zacatecas,174495856
2006-10-01,1,Aguascalientes,95871374
2006-10-01,2,Baja California,74995492
2006-10-01,3,Baja California Sur,7126082
2006-10-01,4,Campeche,19998332
2006-10-01,5,Coahuila,66424262
2006-10-01,6,Colima,45457968
2006-10-01,7,Chiapas,223821727
2006-10-01,8,Chihuahua,110905709
2006-10-01,9,Ciudad de México,346522511
2006-10-01,10,Durango,104171705
2006-10-01,11,Guanajuato,548386406
2006-10-01,12,Guerrero,367384824
2006-10-01,13,Hidalgo,234381752
2006-10-01,14,Jalisco,500956259
2006-10-01,15,Estado de México,509779566
2006-10-01,16,Michoacán,592066993
2006-10-01,17,Morelos,147533540
2006-10-01,18,Nayarit,86117981
2006-10-01,19,Nuevo León,83212815
2006-10-01,20,Oaxaca,334635326
2006-10-01,21,Puebla,375880862
2006-10-01,22,Querétaro,112465739
2006-10-01,23,Quintana Roo,26846970
2006-10-01,24,San Luis Potosí,174421977
2006-10-01,25,Sinaloa,122660144
2006-10-01,26,Sonora,70085673
2006-10-01,27,Tabasco,44900558
2006-10-01,28,Tamaulipas,117669696
2006-10-01,29,Tlaxcala,67692854
2006-10-01,30,Veracruz,413286361
2006-10-01,31,Yucatán,32493625
2006-10-01,32,Zacatecas,159896301
2007-01-01,1,Aguascalientes,94604411
2007-01-01,2,Baja California,75943457
2007-01-01,3,Baja California Sur,6968452
2007-01-01,4,Campeche,18336803
2007-01-01,5,Coahuila,66540094
2007-01-01,6,Colima,47925330
2007-01-01,7,Chiapas,202343221
2007-01-01,8,Chihuahua,105446263
2007-01-01,9,Ciudad de México,248276884
2007-01-01,10,Durango,102943463
2007-01-01,11,Guanajuato,528828099
2007-01-01,12,Guerrero,345326849
2007-01-01,13,Hidalgo,238943793
2007-01-01,14,Jalisco,483600831
2007-01-01,15,Estado de México,485458901
2007-01-01,16,Michoacán,580254685
2007-01-01,17,Morelos,145171812
2007-01-01,18,Nayarit,82454497
2007-01-01,19,Nuevo León,74164069
2007-01-01,20,Oaxaca,328585855
2007-01-01,21,Puebla,358758949
2007-01-01,22,Querétaro,106522360
